,Lap_length,Laps,Dist_to_turn_one,Full_throttle,Gear_changes,Fuel_use_km,Pit_lane,Downforce,Max_speed
Paul Ricard,5842,53,,,,,,Medium,
Baku City Circuit,6003,51,202,56,62,"0,326503415","23,4",High,370
Yas Marina,5554,55,305,63,69,"0,3276917537",,Medium,320
Albert Park,5303,58,380,70,55,"0,3130303602",,Medium,312
Red Bull Ring,4326,71,185,66,54,"0,3929727231","16,1",Low,310
Bahrain International Circuit,5412,57,265,66,,"0,3141167775",21,Low,321
Spa-Francorchamps,7004,44,271,70,48,"0,324100514","17,4",Low,360
Interlagos,4309,71,190,62,42,"0,3457878858","18,5",Medium,310
Circuit Gilles Villeneuve,4361,70,260,67,56,"0,4127493694","17,9",Low,335
Shanghai International Circuit,5451,56,265,56,,"0,3137039075",,Medium,327
Hockenheimring,4574,67,310,54,40,"0,3279405334",11,Medium,313
Silverstone,5891,52,185,66,48,"0,4074011204",,Low,310
Hungaroring,4381,70,618,55,48,"0,3423875827",20,High,305
Monza,5793,53,380,76,46,"0,3141722769",,Low,370
Suzuka,5807,53,350,66,42,"0,3254692612","17,7",High,320
Sepang,5543,56,660,65,57,"0,3229298214",19,Medium,329
Hermanos Rodrigues,4304,71,890,45,52,"0,3276022305",16,Medium,349
Sochi,5848,53,450,60,40,"0,3248974008","18,9",High,343
Monte-Carlo,3337,78,,43,55,"0,5094396164",21,High,293
Marina Bay,5065,61,200,47,80,"0,3751233959",21,High,305
Catalunia,4655,66,730,65,44,"0,3651987111",,Medium,332
Circuit of the Americas,5513,56,280,63,54,"0,3410121531","18,6",Medium,320
